SCHOOL_NAME,COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,COUNTY_NAME,DISTRICT_NAME,Math,Reading and Writing,TOTAL_AVG
School of Health Science,31,4010,4,PASSAIC,PATERSON CITY,486,482,968
SCHOOL OF INFORMATION TECHNOLOGY,31,4010,1,PASSAIC,PATERSON CITY,436,438,874
SCHOOL OF SCIENCE TECHNOLOGY ENGINEERING AND MATHEMATICS,31,4010,304,PASSAIC,PATERSON CITY,487,462,949
POMPTON LAKES HIGH SCHOOL,31,4230,50,PASSAIC,POMPTON LAKES BORO,566,546,1112
WAYNE HILLS HIGH SCHOOL,31,5570,55,PASSAIC,WAYNE TWP,584,577,1161
WAYNE VALLEY HIGH SCHOOL,31,5570,50,PASSAIC,WAYNE TWP,580,576,1156
West Milford High School,31,5650,40,PASSAIC,WEST MILFORD TWP,546,563,1109
Penns Grove High School,33,4070,50,SALEM,PENNS GRV-CARNEY'S PT REG,502,512,1014
Pennsville Memorial High School,33,4075,50,SALEM,PENNSVILLE,536,546,1082
ARTHUR P SCHALICK HIGH SCHOOL,33,4150,40,SALEM,PITTSGROVE TWP,535,559,1094
SALEM HIGH SCHOOL,33,4630,50,SALEM,SALEM CITY,437,422,859
Salem County Career and Technical High School,33,4640,40,SALEM,SALEM COUNTY VOCATIONAL,532,541,1073
Woodstown High School,33,5910,50,SALEM,WOODSTOWN-PILESGROVE REG,558,566,1124
Ridge High School,35,350,50,SOMERSET,BERNARDS TWP,641,637,1278
BOUND BROOK HIGH SCHOOL,35,490,20,SOMERSET,BOUND BROOK BORO,527,522,1049
BRIDGEWATER-RARITAN HIGH SCHOOL,35,555,5,SOMERSET,BRIDGEWATER-RARITAN REG,607,595,1202
Franklin High School,35,1610,50,SOMERSET,FRANKLIN TWP,541,531,1072
Hillsborough High School,35,2170,30,SOMERSET,HILLSBOROUGH TWP,618,601,1219
Manville High School,35,3000,50,SOMERSET,MANVILLE BORO,551,555,1106
Montgomery High School,35,3320,30,SOMERSET,MONTGOMERY TWP,674,657,1331
North Plainfield High School,35,3670,50,SOMERSET,NORTH PLAINFIELD BORO,515,508,1023
SOMERSET COUNTY VOCATIONAL TECHNICAL HIGH SCHOOL,35,4810,70,SOMERSET,SOMERSET CO VOCATIONAL,614,611,1225
Bernards High School,35,4815,20,SOMERSET,SOMERSET HILLS REGIONAL,597,616,1213
SOMERVILLE HIGH SCHOOL,35,4820,50,SOMERSET,SOMERVILLE BORO,579,578,1157
Watchung Hills Regional High School,35,5550,50,SOMERSET,WATCHUNG HILLS REGIONAL,604,608,1212
HIGH POINT REGIONAL HIGH SCHOOL,37,2165,30,SUSSEX,HIGH POINT REGIONAL,551,562,1113
Hopatcong High School,37,2240,30,SUSSEX,HOPATCONG,526,550,1076
Kittatinny Regional High School,37,2465,50,SUSSEX,KITTATINNY REGIONAL,572,579,1151
Lenape Valley Regional High School,37,2615,50,SUSSEX,LENAPE VALLEY REGIONAL,561,563,1124
Newton High School,37,3590,50,SUSSEX,NEWTON TOWN,559,558,1117
SPARTA HIGH SCHOOL,37,4960,50,SUSSEX,SPARTA TWP,576,584,1160
Sussex County Technical School,37,5110,10,SUSSEX,SUSSEX COUNTY VOCATIONAL,531,549,1080
Vernon Township High School,37,5360,20,SUSSEX,VERNON TWP,575,567,1142
WALLKILL VALLEY REGIONAL HIGH SCHOOL,37,5435,60,SUSSEX,WALLKILL VALLEY REGIONAL,568,556,1124
Governor Livingston High School,39,310,5,UNION,BERKELEY HEIGHTS TWP,592,606,1198
Arthur L. Johnson High School,39,850,5,UNION,CLARK TWP,526,540,1066
Cranford High School,39,980,30,UNION,CRANFORD TWP,582,587,1169
Admiral William F. Halsey Jr. Health & Public Safety Academy,39,1320,402,UNION,ELIZABETH CITY,446,439,885
Alexander Hamilton Preparatory Academy,39,1320,405,UNION,ELIZABETH CITY,505,485,990
Elizabeth High School,39,1320,25,UNION,ELIZABETH CITY,569,556,1125
John E. Dwyer Technology Academy,39,1320,401,UNION,ELIZABETH CITY,456,440,896
Thomas A. Edison Career and Technical Academy,39,1320,404,UNION,ELIZABETH CITY,456,434,890
Thomas Jefferson Arts Academy,39,1320,403,UNION,ELIZABETH CITY,459,457,916
Hillside High School,39,2190,50,UNION,HILLSIDE TWP,472,481,953
David Brearley Middle/High School,39,2420,10,UNION,KENILWORTH BORO,503,512,1015
Linden High School,39,2660,50,UNION,LINDEN CITY,493,503,996
New Providence High School,39,3560,50,UNION,NEW PROVIDENCE BORO,614,622,1236
PLAINFIELD ACADEMY FOR THE ARTS & ADVANCED STUDIES,39,4160,52,UNION,PLAINFIELD CITY,481,497,978
Plainfield High School,39,4160,50,UNION,PLAINFIELD CITY,464,458,922
Rahway High School,39,4290,50,UNION,RAHWAY CITY,491,505,996
ABRAHAM CLARK HIGH SCHOOL,39,4540,10,UNION,ROSELLE BORO,454,456,910
Roselle Park High School,39,4550,50,UNION,ROSELLE PARK BORO,529,506,1035
Scotch Plains-Fanwood High School,39,4670,50,UNION,SCOTCH PLAINS-FANWOOD REG,581,578,1159
Jonathan Dayton High School,39,5000,10,UNION,SPRINGFIELD TWP,542,555,1097
Summit High School,39,5090,50,UNION,SUMMIT CITY,597,597,1194
Academy For Allied Health Sciences,39,5260,20,UNION,UNION COUNTY VOCATIONAL,668,654,1322
Academy For Information Technology,39,5260,30,UNION,UNION COUNTY VOCATIONAL,678,662,1340
Academy For Performing Arts,39,5260,35,UNION,UNION COUNTY VOCATIONAL,581,589,1170
Union County Magnet High School,39,5260,40,UNION,UNION COUNTY VOCATIONAL,703,682,1385
Union County Tech,39,5260,50,UNION,UNION COUNTY VOCATIONAL,615,624,1239
UNION SENIOR HIGH,39,5290,50,UNION,UNION TWP,525,524,1049
WESTFIELD SENIOR HIGH SCHOOL,39,5730,50,UNION,WESTFIELD TOWN,620,616,1236
BELVIDERE HIGH SCHOOL,41,280,20,WARREN,BELVIDERE TOWN,538,545,1083
Hackettstown High School,41,1870,50,WARREN,HACKETTSTOWN,559,555,1114
North Warren Regional School,41,3675,50,WARREN,NORTH WARREN REGIONAL,555,565,1120
PHILLIPSBURG HIGH SCHOOL,41,4100,50,WARREN,PHILLIPSBURG TOWN,567,567,1134
Warren County Vocational Technical School,41,5460,50,WARREN,WARREN COUNTY VOCATIONAL,508,538,1046
Warren Hills Regional High School,41,5465,50,WARREN,WARREN HILLS REGIONAL,541,569,1110
